epoch,time(s),train_loss,train_acc,train_mae,test_loss,test_acc(%),test_mae
001,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
002,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
003,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
004,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
005,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
006,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
007,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
008,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
009,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
010,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
011,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
012,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
013,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
014,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
015,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
016,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
017,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
018,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
019,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
020,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
021,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
022,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
023,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
024,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
025,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
026,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
027,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
028,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
029,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
030,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
031,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
032,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
033,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
034,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
035,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
036,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
037,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
038,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
039,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
040,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
041,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
042,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
043,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
044,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
045,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
046,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
047,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
048,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
049,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
050,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
051,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
052,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
053,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
054,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
055,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
056,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
057,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
058,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
059,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
060,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
061,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
062,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
063,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
064,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
065,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
066,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
067,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
068,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
069,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
070,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
071,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
072,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
073,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
074,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
075,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
076,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
077,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
078,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
079,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
080,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
081,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
082,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
083,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
084,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
085,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
086,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
087,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
088,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
089,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
090,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
091,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
092,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
093,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
094,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
095,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
096,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
097,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
098,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
099,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
100,00000,0.000000,0.0000,0.0000,0.000000,0.0000,0.0000
